FRANK-WOLFE ALGORITHM
iter; objective; relative_gap; alpha
DIRECT NONLINEAR EQUILIBRIUM SOLUTION
Direct objective: 93911006.0772413909
Comparison direct v and FW vv-v:
(2,1): direct=13179.9936614905 FW_minus_direct=-50.1164014639
(1,4): direct=13179.9936614905 FW_minus_direct=-50.1164014639
(3,2): direct=13179.9936614905 FW_minus_direct=-50.1164014639
(4,9): direct=13179.9936614905 FW_minus_direct=-50.1164014639
(9,4): direct=4406.2497983208 FW_minus_direct=25.0724973903
(5,10): direct=4702.5956177833 FW_minus_direct=29.5450505293
(6,5): direct=12702.5956177833 FW_minus_direct=29.5450505293
(3,7): direct=36184.6222592357 FW_minus_direct=29.3843180784
(6,14): direct=20432.7884614905 FW_minus_direct=56.4859401193
(14,6): direct=0.0000000000 FW_minus_direct=65.2989072631
(7,14): direct=17133.5493827447 FW_minus_direct=43.6806386099
(14,7): direct=0.0000000000 FW_minus_direct=103.3756698108
(7,19): direct=19051.0728764910 FW_minus_direct=89.0793492793
(8,9): direct=8500.0000000000 FW_minus_direct=69.4826996238
(9,8): direct=8000.0000000000 FW_minus_direct=0.0000000000
(11,8): direct=17000.0000000000 FW_minus_direct=69.4826996238
(9,12): direct=5984.3954859950 FW_minus_direct=-2.1667906130
(12,9): direct=0.0000000000 FW_minus_direct=61.1151149024
(9,10): direct=4093.7502016792 FW_minus_direct=105.5253171359
(10,9): direct=804.4018245045 FW_minus_direct=47.9496108509
(10,13): direct=3898.1937932788 FW_minus_direct=112.1932542046
(11,22): direct=33895.0524062048 FW_minus_direct=-75.8049914650
(11,12): direct=30604.9475937952 FW_minus_direct=6.3222918412
(12,15): direct=3286.1690197256 FW_minus_direct=60.1619518276
(12,13): direct=18818.7785740696 FW_minus_direct=-114.9547748888
(13,12): direct=2015.6045140050 FW_minus_direct=2.1667906130
(13,14): direct=8000.0000000000 FW_minus_direct=103.3756698108
(13,17): direct=9196.9629979855 FW_minus_direct=11.3643661866
(14,18): direct=17070.7426995931 FW_minus_direct=30.2395404585
(15,16): direct=3286.1690197256 FW_minus_direct=-54.8782644594
(22,16): direct=8469.7339652061 FW_minus_direct=25.1871671217
(16,17): direct=3755.9029849317 FW_minus_direct=-29.6910973376
(16,18): direct=8000.0000000000 FW_minus_direct=-0.0000000000
(18,17): direct=2121.8155760842 FW_minus_direct=15.9432199270
(20,17): direct=1425.3184409987 FW_minus_direct=2.3835112241
(18,21): direct=6448.9271235090 FW_minus_direct=14.2963205315
(22,20): direct=9425.3184409987 FW_minus_direct=2.3835112241
(20,21): direct=8000.0000000000 FW_minus_direct=0.0000000000
(24,21): direct=2051.0728764910 FW_minus_direct=-14.2963205315
(24,19): direct=8000.0000000000 FW_minus_direct=-103.3756698108
(19,24): direct=10551.0728764910 FW_minus_direct=-14.2963205315
(22,23): direct=16000.0000000000 FW_minus_direct=-103.3756698108
(23,24): direct=8000.0000000000 FW_minus_direct=-103.3756698108
(24,23): direct=8500.0000000000 FW_minus_direct=0.0000000000
(4,5): direct=4406.2497983208 FW_minus_direct=25.0724973903
(10,5): direct=4093.7502016792 FW_minus_direct=-25.0724973903
(3,6): direct=33135.3840792738 FW_minus_direct=20.7320833855
(14,13): direct=12495.5951446421 FW_minus_direct=4.6281310076
(15,13): direct=0.0000000000 FW_minus_direct=115.0402162869
