RSD ALGORITHM rho=4
iter; objective; relative_gap; active_vertices; alphas
55; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[56]=0.06278157 
56; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[57]=0.07530659 
57; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[58]=0.06278157 
58; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[59]=0.07530659 
59; 35763254.9785133377; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[60]=0.06278157 
60; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[61]=0.07530659 
61; 35763254.9785133675; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[62]=0.06278157 
62; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[63]=0.07530659 
63; 35763254.9785133451; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[64]=0.06278157 
64; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[65]=0.07530659 
65; 35763254.9785133600; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[66]=0.06278157 
66; 35759712.8994174376; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[67]=0.07530659 
67; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[68]=0.06278157 
68; 35759712.8994174227; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[69]=0.07530659 
69; 35763254.9785133526; 0.0049583330; 4; alpha[6]=0.48900865 alpha[10]=0.34432702 alpha[11]=0.10388276 alpha[70]=0.06278157 
70; 35759712.8994174302; 0.0062720426; 4; alpha[6]=0.48365859 alpha[10]=0.33291719 alpha[11]=0.10811763 alpha[71]=0.07530659 
